epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2682.36,0.85982,0.84846,1.32097,0.7662,0.71202,0.78263,0.55733,1.05793,0.93832,1.57761,0.00828443,0.00828443,0.00828443
43,2746.55,0.85377,0.84202,1.31624,0.72795,0.75417,0.78149,0.55563,1.06822,0.97547,1.58699,0.00820525,0.00820525,0.00820525
44,2810.65,0.8476,0.8243,1.31489,0.75836,0.73339,0.78484,0.56492,1.04603,0.91079,1.57659,0.00812468,0.00812468,0.00812468
45,2874.96,0.83826,0.80282,1.30423,0.82624,0.7088,0.79717,0.5858,1.02108,0.9073,1.53829,0.00804277,0.00804277,0.00804277
46,2939.6,0.83008,0.80076,1.29761,0.79942,0.72179,0.80023,0.5789,1.02419,0.90936,1.54769,0.00795954,0.00795954,0.00795954
47,3004.8,0.82509,0.77906,1.29059,0.76489,0.75688,0.79194,0.57329,1.02958,0.90461,1.56873,0.00787503,0.00787503,0.00787503
48,3069.31,0.81556,0.78012,1.28775,0.731,0.74766,0.75895,0.54648,1.05333,0.95148,1.58903,0.00778929,0.00778929,0.00778929
49,3134.38,0.82143,0.77498,1.28662,0.7738,0.73487,0.79018,0.57338,1.04365,0.88737,1.57693,0.00770234,0.00770234,0.00770234
50,3199.32,0.81009,0.76799,1.28305,0.75136,0.73991,0.7848,0.56809,1.03773,0.95022,1.57463,0.00761423,0.00761423,0.00761423
51,3263.74,0.81249,0.76021,1.28362,0.78491,0.7403,0.80322,0.5775,1.03929,0.88591,1.57561,0.007525,0.007525,0.007525
52,3328.38,0.80018,0.74633,1.26893,0.77733,0.73193,0.80053,0.58382,1.02792,0.88858,1.56515,0.00743468,0.00743468,0.00743468
53,3392.64,0.80203,0.75,1.27209,0.75245,0.76067,0.80389,0.57738,1.04753,0.90346,1.59169,0.00734332,0.00734332,0.00734332
54,3456.71,0.78833,0.7233,1.25994,0.80521,0.73127,0.78588,0.56581,1.03836,0.92285,1.58249,0.00725094,0.00725094,0.00725094
55,3520.64,0.78234,0.71566,1.25575,0.81857,0.73348,0.80355,0.57966,1.03674,0.88868,1.59059,0.00715761,0.00715761,0.00715761
56,3584.53,0.7837,0.70807,1.25898,0.78495,0.75008,0.80848,0.59148,1.01567,0.87431,1.56389,0.00706335,0.00706335,0.00706335
57,3648.48,0.76464,0.70209,1.24505,0.78619,0.76208,0.81465,0.59582,1.03309,0.85757,1.57208,0.0069682,0.0069682,0.0069682
58,3712.76,0.77684,0.69156,1.25034,0.79045,0.73916,0.80288,0.58715,1.03541,0.92346,1.57458,0.00687222,0.00687222,0.00687222
59,3776.71,0.75812,0.67634,1.2317,0.81042,0.72167,0.79318,0.57727,1.04367,0.92322,1.59438,0.00677543,0.00677543,0.00677543
